Ad Date,Ad Title,Ad Type,Age Specified,County,Gender Specified,Image No,Count,URL_ERROR,FULL TEXT,Notes,Press Date,Sale Date,Sale Disposition,Sale Location County,Sale Location Locale,Sale Location State,Skills Specified,First Name,Last Name,Source,Source Page,Subscriber County,Subscriber Firstname,Subscriber Lastname,Subscriber Locale,Subscriber State
,for sale,sell,19,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350504acda37.pdf,1,ERROR,,page 3 1st column under moxies,18350429,,private_dealer,,,MD,house servant,,,American Commercial and Daily Advertiser,,,,,,MD
,wanted,buy,,Baltimore,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350512acda37.pdf,2,,"FOR SALE, a Coloured Woman, has about sixteen years to serve a good cook—The present
owner is about leaving for the West.
Wanted a respectable widow or single woman to go
with a family to the west, to assist to do the general
work of the family at this office.
ma 2 d4t* P*",,18340504,,private_dealer,,,MD,cook,,,American Commercial and Daily Advertiser,1,,,,,MD
,wanted to hire,buy,16 - 18,,male,,,ERROR (blank),,,18350505,,private_dealer,,,MD,,,,American Commercial and Daily Advertiser,,,,,,MD
,for sale,sell,,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350512acda37.pdf,2,,"FOR SALE, a Coloured Woman, has about sixteen years to serve a good cook—The present
owner is about leaving for the West.
Wanted a respectable widow or single woman to go
with a family to the west, to assist to do the general
work of the family at this office.
ma 2 d4t* P*",page 3 2nd column,18350512,,private_dealer,,,MD,waiting,,,American Commercial and Daily Advertiser,,,,,,MD
,for sale,sell,14,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350514acda40.pdf,1,,"FOR SALE—Two likely mulatto House Servants, a female aged sixteen, and a male aged
fourteen years—each to serve to the age of 30 years.
They are healthy, active and of good character. They
are sold for no fault, owing only to the owner leaving
the State. A line addressed to [ D.] and left at the
Patriot office, will receive due attention. 
m 14 4t",page 3 2nd column,18350514,,private_dealer,,,MD,,,,American Commercial and Daily Advertiser,,,,,,MD
,Wanted to purchase,buy,16,,female,,,ERROR (blank),,,18350514,,private_dealer,,,MD,,,,American Commercial and Daily Advertiser,,,,,,MD
,wanted to purchase,buy,15-Dec,Baltimore,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350530acda41.pdf,1,,"WANTED TO PURCHASE a colored Girl
between 12 and 15 years of age to remain in this
city. A liberal price will be paid for one of a good
disposition and industrious habits. Apply to No. 76
Bowly's wharf.
ma 28 d4t",page 1 6th column 4th from bottom,18350530,,private_dealer,,,MD,,,,American Commercial and Daily Advertiser,,BA,,,No. 76 Bowly's Wharf,MD
,Sheriff's Sale,sell,25,Baltimore,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18350530acda42.pdf,1,,"SHERIFF’S SALE— By virtue of a writ of
Fieri Facias, issued out of the Court of Appeals
for the Western Shore of the State of Maryland to the
Sheriff of Baltimore County directed, at the suit of
Robert Robinson and Thomas Robinson, against the
goods and chattels, lands and tenements of Robert
Armstrong—I have seized and taken in execution, all
the estate, right, title, interest, property, claim and demand at law and inequity of the said Robert Arm
strong, in and to one Negro man named Daniel, aged
about twenty five years, a slave for life; one Negro
women aged about forty years, a slave for life;
one Negro girl aged about seventeen years, a slave
for life—Also, thirty shares of Baltimore Shot Tower
Stock, one Barouche, cover and harness, one sideboard, book case, one sofa, mahogany tables, 22
chairs, carpets, one fender, andirons, shovels & tongs,
looking glasses, stair carpet, stair rods, bureaus, dressing glasses, 2 globes, a bag of feathers, three beds,
bedsteads and bedding, a lot of kitchen furniture, one
horse, one dray, &c.
And I hereby give notice, That on FRIDAY, the
19th day of June next at 10 o’clock, in the forenoon,
at the Court House, I will offer for sale the said property so seized and taken in execution, by Public auction to the highest bidder, for cash; and on Saturday
the 20th day of June next, at 10 o’clock, A. M. I will sell at the Soap and Candle Factory of the said Robert
Armstrong, in Concord street for cash, 3 copper soap
pans; I iron soap pan; 1 stove, &c.; 1 reel; 6 key tubs;
8 soap frames; moulds, stands, kettles, pans, and all
the fixtures attached to said Factory, and one wheelbarrow. 
HENRY S. SANDERSON, Sheriff.
ma 30 R dts",page 3 5th column,18350530,18350619,court_ordered,BA,Courthouse,MD,,Daniel,,American Commercial and Daily Advertiser,,BA,Henry S.,Sanderson,Baltimore City,MD
,Sheriff's Sale,sell,40,Baltimore,female,,,ERROR (blank),,,18350530,18350619,court_ordered,BA,Courthouse,MD,,,,American Commercial and Daily Advertiser,,BA,Henry S.,Sanderson,Baltimore City,MD
,Sheriff's Sale,sell,17,Baltimore,female,,,ERROR (blank),,,18350530,18350619,court_ordered,BA,Courthouse,MD,,,,American Commercial and Daily Advertiser,,BA,Henry S.,Sanderson,Baltimore City,MD
