Ad Date,Ad Title,Ad Type,Age Specified,County,Gender Specified,Image No,Count,URL_ERROR,FULL TEXT,Notes,Press Date,Sale Date,Sale Disposition,Sale Location County,Sale Location Locale,Sale Location State,Skills Specified,First Name,Last Name,Source,Source Page,Subscriber County,Subscriber Firstname,Subscriber Lastname,Subscriber Locale,Subscriber State
18450120,For Sale,sell,,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18450120acda1.pdf,,,"FOR SALE—A young BLACK WOMAN, good
Cook, Washer and Ironer, to serve 14 years.
Apply at No. 12 N. Frederick street. 
ja 20 3t",14 years remaining to serve,18450120,,private_dealer,,,MD,domestics,,,American and Commercial Daily Advertiser,,,,,12 N. Frederick St.,MD
18450915,Trustee's Sale of Negroes,sell,under 10,Baltimore City,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18450915acda1.pdf,,,"TRUSTEE’S SALE OE NEGROES—The undersigned, permanent Trustee of Elisha Dimmitt, an insolvent debtor, will offer for sale at public
auction, at the auction rooms of Wm. Ward, No. 22
S. Charles street, on SATURDAY, the 20th inst., at
10 o’clock, A. M.;TWO NEGRO GIRLS, slaves for
life aged about 7 and 9 years. They may be seen at
any time before the day of sale, by calling at the
Counting Room of the subscriber, in LIGHT ST., near Pratt.
Terms of sale are cash at the option of the purchaser,
or a credit of five months, with interest and security
approved by the Trustee.
JOHN KERRY, Permanent Trustee.
ORVILLE HORWITZ, Attorney.
se 10 eo5t ","2 girls for sale ; formerly the property of Elisha Dimmitt, an insolvent debtor",18450915,18450920,estate_sale,BC,22 S. Charles St.,MD,,,,American and Commercial Daily Advertiser,,BC,John,Ferry,Light St.,MD
18451230,Sheriff's Sale.,Sale,,Talbot,Male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18451230es5.pdf,,ERROR (7 occurrences),,"N.E. Nicols, Shff. posted the ad.",18451230,18460121,public_dealer,Talbot,Court House in Easton,Maryland,,Jim,,Easton Star,3,TA,Henry,Catrup,,Maryland
18460917,Wanted to Hire,buy,18-Nov,Baltimore City,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18460917acda1.pdf,,ERROR,,,18460917,,private_dealer,,,MD,domestics,,,American and Commercial Daily Advertiser,,BC,,"Pendleton, Riely, + Co.",277 Baltimore St.,MD
18470313,Wanted to Hire,buy,,Baltimore City,,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18470322acda2.pdf,,,"WANTED TO HIRE BY THE YEAR—A Gardener, a Blacksmith and three food negro hands as slaves, for a farm on the York Road. Apply to
THOMAS J. GOTT, No. 16 Fayette,
one door West of North street.
FARMS FOR SALE—A valuable Farm of
215 acres, about 20 miles on the Susq. Railroad,
with good buildings; one of three hundred acres
of home stone land, on Long Green; one of 250 acres, in Harford Co.; one of 119 acres on Elk Ridge, with
large brick improvements price $7,000. A Farm of 56 acres; a Farm of 72 acres, for $2000 about 5 miles from the city; a Farm of 72 acres, near and north of the city; a lot of 54 acres near the city limits, with 2 frame houses; also a Farm of 80 acres for $3000. Apply as above.
mh 13",,18470322,,private_dealer,,,MD,domestics,,,American and Commercial Daily Advertiser,,BC,Thomas J.,Gott,No. 26 Fayette Street,MD
18471001,For Sale,sell,31 - 50,Baltimore City,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18471001acda1.pdf,,,"FOR SALE—A colored woman, a first rate cook,
washer and ironer, about 45 years age; she will be allowed to go out of the State. Apply at No. 139 Pratt st. opposite Baltimore & Ohio Rail Road Depot.
4t oc 1",,18471001,,private_dealer,,,MD,domestics,,,American and Commercial Daily Advertiser,,BC,,,No. 139 Pratt Street,MD
18480721,Public Sale,Sell,10,Frederick,M,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18480721rc1.pdf,,,"Public Sale
The subscriber, having sold his Farm, will sell at public sale, at his residence, located near Ullen Mills, and 11 miles North of Frederick, on the road leading from Fredrick to Manuteburg, and 4 miles from Cresgentown, on Friday the 9th day a at nine o'clock A.M., the following property to wit:
1 NEGRO BOY
slave for life, and about 10 years of age, and will not be sold to a trader, and also
WORK HORSES
2 of them large Dapple Grays and the others a Black Stag; 3 firstrate Milch Cows, nine head of fattening hogs, 1 brood mare with Pigs; 2 narrow tread Wagons, one to four horse end and other a two horse Wagon, with Head; one pair of Wood Ladders, 1 bale of Bark Ladders, 1 Hay Carriage, one Cart, 1 Buggy, one Omnibus and Harness, 1 horse Sleigh,
1 Threshing Machine
4 horse power (Pampel's maker) two Wheel Fans, on Wheat , 1 Cutting Box, 3 of first-rate Wagon Harness, 1 first-rate stet of Bells, 1 set of Plough Gears, 6 head Halters, 4 Cow Chains, 1 Jack horse, 3 these horse Brasheer Ploughs, 4 two horse Ploughs, 4 one horse Ploughs, 3 double Shorel Ploughs, 2 single do, 2 Harrows, 1 three horse and 2 two horse; 2 Wheelbarrows, 2 first-rate Grind , two Leg Chairs, two pale of Street, two fifth chains, 2 three horse Plough Double Tears, 1 two herse do., 4 Grain cradles, four mowing Scythes, and about 10 tons of good Timothy Hey, Bale by the bushel, 1 corn Shellup, one 1 horse Rake, Rakes, forks, Shovels & Homee Mattock and Plak, three cross-cut Haws, 20 rags, a lot of carpenter's tools, 1000 mill gos, a large lot of old iron, a lot of hawed lumber, from 1 to 4 inches; and a large lot of Slabs, a lot of Locus Stakes and Chestnut Rails.
ALSO,
Household & Kitchen Furniture, 
such as 1 Brass Clock 1 Wardrobe, 2 Bureaus, Tables, Chairs, Beds, and Bedding, Carpentry, 2 Hares and Pipe, 1 Cooking Stove, Three cupboards, 4 barrels of Vinegar, a lot of Bacon, Tube, Barrels, and many other articles too numerous to mention.
TERMS OF SALE--On all sums above $5, a credit of six months will be given, the purchaser giving his note with approved security, hearing interest from all sales, all sums of $ and under, the cash will be required.
No property to be removed until the terms of sale are complied with.
GEORGE LAYMAN
Joshua Dill, Auctioneer
July 21-3t",slave for life; not to be sold to trader,18480721,18480809,public,FR,Utica Mills,MD,,,,Republican Citizen,3,FR,George,Layman,Utica Mills,MD
18490830,Wanted,Buy,14,,Male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18490901acda1.pdf,,ERROR,,Housework in a small family,18490901,,Private,,,,Waiting,,,ACDA,,,,,44 Lexington Street,MD
18500306,Eastern Shore Cooks For Sale,Sale,,Baltimore,F,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18500306acda.pdf,,,"EASTERN SHORE COOKS FOR SALE, slaves for life and term of years. Three women, one equal
as a cook to any servant in the county she is from; the other
two very good; also, two likely boys, 14 and 15 years old,
one a first-rate house boy, the other a farm hand. They
are all sober and believed to be honest servants—raised in
the best of families—sold without fault. Apply at No. 18
S. Frederick near Second Street.
mh 6—2t?",,18500306,,Private,,,,cook,,,American and Commercial Daily Advertiser,,BA,,,BC,MD
18510324,For Hire,sell,16,Baltimore,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18510327acda04.pdf,,,"FOR HIRE--A very fine SERVANT GIRL, a slave who can be highly recommended; aged 16 years Apply to THOMAS J. TULL
No. 3 Ellicott St.
3d door N. of Pratt St.
mh 24-4t*",p.3 for rent,18510327,,private_dealer,BA,,MD,Servant,,,American Commercial and Daily Advertiser,,BA,Thomas J.,Tull,No. 3 Ellicott Street,MD
18520409,Colored Servant Man or Boy Wanted,buy,,,M,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18520409acda1.pdf,,,"COLORED SERVANT MAN OR BOY WANTED—One who can come well recommended, and understands
 well how to attend Horse and Carriage, and as a
waiter in a house; a slave preferred. Address Box No
455, Post office	
ap 9",slave preferred,18520409,,private,,,,domestic,,,American and Commercial Daily Advertiser,,,,,P.O. Box 455,MD
18530519,Negroes for Sale,sell,,,both,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18530520acda1.pdf,,,"NEGROES FOR SALE, Slaves for Life and Term of years from the Eastern Shore. Two women, one
slave for Life, the other term of years, an excellent
cook, washer, ironer and milker. A girl 11 years old, a
good nurse; a middled aged man slave for life, a good
farm hand; also two very likely boys to serve for a term
or years. They are all believed to be orderly, honest, well
disposed servants, directly from the country and have no
city acquaintances; sold for want of money only and not
fault; they will be sold very low to good homes. Apply
to 18 South Frederick, near Second street, Baltimore.
ma19 2t?","5 women, 2 men, slaves for life",18530520,,private_dealer,,,MD,,,,American and Commercial Daily Advertiser,,,,,18 S. Frederick St.,MD
18540513,Cook for Sale,sell,18 months,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18540513acda1.pdf,,,"COOK FOR SALE—A COLORED WOMAN, about
35 years of age. with a child 18 months old. She is a
superior cook, and has been employed as such over 10 years
with the family of her owner. Address “OWNER OF
COOK"" through Post Office, to which prompt attention will
be given.
m13-4t",,18540513,,,,,MD,,,,American and Commercial Daily Advertiser,,,,,,MD
18551110,For Sale,Sell,19,Baltimore City,Female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18551110baca1.pdf,,,"FOR SALE—A VERY COMPETENT AND LIKELY COLORED WOMAN, for a term of years. She
is an excellent cook and is accustomed to doing house
work generally; aged 19 years; to serve till 30 years. Apply at No. 145 EXETER STREET, near Gay.
n10-3*","""‚Ä¶to serve until 30 years old""",18551110,,Private,BC,#145 Exeter Street,MD,cook; housework,,,Baltimore American and Commercial Advertiser,2,,,,,
18561213,Public Sale of Valuable Negroes,Sale,14,Talbot,Female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18561213eg1.pdf,,ERROR (8 occurrences),,,18561213,18561222,public_dealer,Dorchester County,Court House in Cambridge,Maryland,,Maria,,Easton Gazette,2,DO,J. Thomas,Travers,,Maryland
18571021,For Sale,Sale,,Dorchester,Male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18571021cd3.pdf,,ERROR,,"Valuable negro man, to be sold at private sale and in county.",18571014,,public_dealer,Dorchester,,Maryland,Slave for life.,,,Cambridge Democrat,2,DO,,"Goldsborough & Henry, Agents",,Maryland
18590509,Notice,Sale,23,,Male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18590512acda1.pdf,,ERROR (2 occurrences),,Alonza; mulatto,18590512,18590513,Public,,Maryland Penitentiary,MD,servant,,,ACDA,,,A.D,Evans,Maryland Penitentiary,MD
18640227,Wanted to Hire,purchase,14-16,Kent,Male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18640227kn2.pdf,,ERROR (2 occurrences),,,18640227,,public_dealer,,,,To attend to horse and run errands.,,,Kent News,2,,,,,
